"Year of diagnosis","Age recode with <1 year olds and 90+","Age-Adjusted Rate","Count","Population"
"1975-2023","00 years",~,0,0
"1975-2023","01-04 years",~,0,0
"1975-2023","05-09 years",~,0,0
"1975-2023","10-14 years",~,0,0
"1975-2023","15-19 years",~,0,0
"1975-2023","20-24 years",0.0,19,80725621
"1975-2023","25-29 years",0.1,48,84794481
"1975-2023","30-34 years",0.1,90,85121608
"1975-2023","35-39 years",0.2,184,80894511
"1975-2023","40-44 years",0.3,247,75530380
"1975-2023","45-49 years",0.5,363,69834543
"1975-2023","50-54 years",0.8,502,65083963
"1975-2023","55-59 years",1.0,567,58847785
"1975-2023","60-64 years",1.1,584,51043113
"1975-2023","65-69 years",1.4,585,42485368
"1975-2023","70-74 years",1.6,532,33552565
"1975-2023","75-79 years",1.6,405,25167221
"1975-2023","80-84 years",1.6,285,17348148
"1975-2023","85-89 years",~,0,0
"1975-2023","90+ years",~,0,0
"1975-2023","Unknown",~,0,0
"1975","00 years",~,0,0
"1975","01-04 years",~,0,0
"1975","05-09 years",~,0,0
"1975","10-14 years",~,0,0
"1975","15-19 years",~,0,0
"1975","20-24 years",0.0,0,1492496
"1975","25-29 years",0.0,0,1399469
"1975","30-34 years",0.0,0,1149120
"1975","35-39 years",0.1,1,915080
"1975","40-44 years",0.1,1,856795
"1975","45-49 years",0.1,1,889398
"1975","50-54 years",0.6,5,907621
"1975","55-59 years",0.3,2,795794
"1975","60-64 years",1.2,8,675847
"1975","65-69 years",0.7,4,550817
"1975","70-74 years",0.5,2,414765
"1975","75-79 years",0.3,1,299679
"1975","80-84 years",1.5,3,202376
"1975","85-89 years",~,0,0
"1975","90+ years",~,0,0
"1975","Unknown",~,0,0
"1976","00 years",~,0,0
"1976","01-04 years",~,0,0
"1976","05-09 years",~,0,0
"1976","10-14 years",~,0,0
"1976","15-19 years",~,0,0
"1976","20-24 years",0.1,1,1531844
"1976","25-29 years",0.0,0,1480579
"1976","30-34 years",0.0,0,1178165
"1976","35-39 years",0.0,0,945016
"1976","40-44 years",0.1,1,857843
"1976","45-49 years",0.1,1,880696
"1976","50-54 years",0.1,1,905494
"1976","55-59 years",0.4,3,811406
"1976","60-64 years",0.6,4,689528
"1976","65-69 years",1.1,6,565898
"1976","70-74 years",1.2,5,428022
"1976","75-79 years",1.0,3,302710
"1976","80-84 years",2.0,4,204713
"1976","85-89 years",~,0,0
"1976","90+ years",~,0,0
"1976","Unknown",~,0,0
"1977","00 years",~,0,0
"1977","01-04 years",~,0,0
"1977","05-09 years",~,0,0
"1977","10-14 years",~,0,0
"1977","15-19 years",~,0,0
"1977","20-24 years",0.0,0,1574631
"1977","25-29 years",0.0,0,1480798
"1977","30-34 years",0.0,0,1282465
"1977","35-39 years",0.4,4,984281
"1977","40-44 years",0.2,2,863835
"1977","45-49 years",0.3,3,870198
"1977","50-54 years",0.1,1,895405
"1977","55-59 years",0.6,5,826615
"1977","60-64 years",0.3,2,702722
"1977","65-69 years",0.5,3,580946
"1977","70-74 years",0.5,2,439466
"1977","75-79 years",1.3,4,309805
"1977","80-84 years",0.5,1,208524
"1977","85-89 years",~,0,0
"1977","90+ years",~,0,0
"1977","Unknown",~,0,0
"1978","00 years",~,0,0
"1978","01-04 years",~,0,0
"1978","05-09 years",~,0,0
"1978","10-14 years",~,0,0
"1978","15-19 years",~,0,0
"1978","20-24 years",0.0,0,1611016
"1978","25-29 years",0.0,0,1514139
"1978","30-34 years",0.0,0,1332713
"1978","35-39 years",0.1,1,1048959
"1978","40-44 years",0.1,1,876754
"1978","45-49 years",0.3,3,860392
"1978","50-54 years",0.3,3,888870
"1978","55-59 years",0.7,6,842373
"1978","60-64 years",0.1,1,716420
"1978","65-69 years",0.7,4,594536
"1978","70-74 years",0.7,3,452522
"1978","75-79 years",0.6,2,318843
"1978","80-84 years",0.9,2,211624
"1978","85-89 years",~,0,0
"1978","90+ years",~,0,0
"1978","Unknown",~,0,0
"1979","00 years",~,0,0
"1979","01-04 years",~,0,0
"1979","05-09 years",~,0,0
"1979","10-14 years",~,0,0
"1979","15-19 years",~,0,0
"1979","20-24 years",0.1,1,1642670
"1979","25-29 years",0.0,0,1555980
"1979","30-34 years",0.1,2,1399732
"1979","35-39 years",0.1,1,1098777
"1979","40-44 years",0.1,1,895918
"1979","45-49 years",0.4,3,851438
"1979","50-54 years",0.3,3,880330
"1979","55-59 years",0.5,4,859512
"1979","60-64 years",0.5,4,731333
"1979","65-69 years",0.7,4,611128
"1979","70-74 years",1.5,7,463684
"1979","75-79 years",0.9,3,330311
"1979","80-84 years",0.5,1,213194
"1979","85-89 years",~,0,0
"1979","90+ years",~,0,0
"1979","Unknown",~,0,0
"1980","00 years",~,0,0
"1980","01-04 years",~,0,0
"1980","05-09 years",~,0,0
"1980","10-14 years",~,0,0
"1980","15-19 years",~,0,0
"1980","20-24 years",0.0,0,1666635
"1980","25-29 years",0.1,1,1609173
"1980","30-34 years",0.0,0,1470495
"1980","35-39 years",0.0,0,1145684
"1980","40-44 years",0.1,1,917395
"1980","45-49 years",0.0,0,842108
"1980","50-54 years",0.5,4,878496
"1980","55-59 years",0.5,4,872854
"1980","60-64 years",0.0,0,748050
"1980","65-69 years",1.3,8,625471
"1980","70-74 years",0.6,3,476612
"1980","75-79 years",0.6,2,339835
"1980","80-84 years",0.5,1,217094
"1980","85-89 years",~,0,0
"1980","90+ years",~,0,0
"1980","Unknown",~,0,0
"1981","00 years",~,0,0
"1981","01-04 years",~,0,0
"1981","05-09 years",~,0,0
"1981","10-14 years",~,0,0
"1981","15-19 years",~,0,0
"1981","20-24 years",0.0,0,1677448
"1981","25-29 years",0.1,1,1651964
"1981","30-34 years",0.0,0,1550730
"1981","35-39 years",0.1,1,1174960
"1981","40-44 years",0.0,0,947010
"1981","45-49 years",0.0,0,841192
"1981","50-54 years",0.3,3,874147
"1981","55-59 years",0.3,3,866822
"1981","60-64 years",0.7,5,766009
"1981","65-69 years",0.2,1,636810
"1981","70-74 years",1.4,7,490344
"1981","75-79 years",1.4,5,349796
"1981","80-84 years",0.5,1,221654
"1981","85-89 years",~,0,0
"1981","90+ years",~,0,0
"1981","Unknown",~,0,0
"1982","00 years",~,0,0
"1982","01-04 years",~,0,0
"1982","05-09 years",~,0,0
"1982","10-14 years",~,0,0
"1982","15-19 years",~,0,0
"1982","20-24 years",0.0,0,1667741
"1982","25-29 years",0.0,0,1695058
"1982","30-34 years",0.1,2,1548753
"1982","35-39 years",0.3,4,1275149
"1982","40-44 years",0.1,1,985316
"1982","45-49 years",0.4,3,845994
"1982","50-54 years",0.2,2,862329
"1982","55-59 years",0.7,6,855529
"1982","60-64 years",0.6,5,779654
"1982","65-69 years",0.6,4,648975
"1982","70-74 years",0.8,4,503967
"1982","75-79 years",0.6,2,359516
"1982","80-84 years",0.9,2,227144
"1982","85-89 years",~,0,0
"1982","90+ years",~,0,0
"1982","Unknown",~,0,0
"1983","00 years",~,0,0
"1983","01-04 years",~,0,0
"1983","05-09 years",~,0,0
"1983","10-14 years",~,0,0
"1983","15-19 years",~,0,0
"1983","20-24 years",0.0,0,1661721
"1983","25-29 years",0.0,0,1728285
"1983","30-34 years",0.1,1,1580284
"1983","35-39 years",0.1,1,1324265
"1983","40-44 years",0.1,1,1047609
"1983","45-49 years",0.2,2,865483
"1983","50-54 years",0.6,5,844933
"1983","55-59 years",0.5,4,852943
"1983","60-64 years",0.3,2,784542
"1983","65-69 years",1.2,8,662016
"1983","70-74 years",1.0,5,518114
"1983","75-79 years",0.5,2,370511
"1983","80-84 years",0.0,0,232939
"1983","85-89 years",~,0,0
"1983","90+ years",~,0,0
"1983","Unknown",~,0,0
"1984","00 years",~,0,0
"1984","01-04 years",~,0,0
"1984","05-09 years",~,0,0
"1984","10-14 years",~,0,0
"1984","15-19 years",~,0,0
"1984","20-24 years",0.0,0,1654466
"1984","25-29 years",0.1,1,1750870
"1984","30-34 years",0.4,6,1619445
"1984","35-39 years",0.1,1,1387757
"1984","40-44 years",0.1,1,1097939
"1984","45-49 years",0.3,3,888879
"1984","50-54 years",0.1,1,832661
"1984","55-59 years",0.2,2,844867
"1984","60-64 years",0.6,5,794129
"1984","65-69 years",0.4,3,672949
"1984","70-74 years",0.8,4,529577
"1984","75-79 years",0.5,2,381068
"1984","80-84 years",1.7,4,239646
"1984","85-89 years",~,0,0
"1984","90+ years",~,0,0
"1984","Unknown",~,0,0
"1985","00 years",~,0,0
"1985","01-04 years",~,0,0
"1985","05-09 years",~,0,0
"1985","10-14 years",~,0,0
"1985","15-19 years",~,0,0
"1985","20-24 years",0.0,0,1637415
"1985","25-29 years",0.1,1,1762683
"1985","30-34 years",0.0,0,1663956
"1985","35-39 years",0.1,2,1450899
"1985","40-44 years",0.3,3,1146031
"1985","45-49 years",0.1,1,908430
"1985","50-54 years",0.5,4,827439
"1985","55-59 years",0.5,4,836044
"1985","60-64 years",0.1,1,801497
"1985","65-69 years",0.6,4,684585
"1985","70-74 years",0.7,4,540430
"1985","75-79 years",1.0,4,392553
"1985","80-84 years",2.0,5,246553
"1985","85-89 years",~,0,0
"1985","90+ years",~,0,0
"1985","Unknown",~,0,0
"1986","00 years",~,0,0
"1986","01-04 years",~,0,0
"1986","05-09 years",~,0,0
"1986","10-14 years",~,0,0
"1986","15-19 years",~,0,0
"1986","20-24 years",0.0,0,1601473
"1986","25-29 years",0.0,0,1773800
"1986","30-34 years",0.1,1,1702426
"1986","35-39 years",0.1,1,1535389
"1986","40-44 years",0.3,3,1181501
"1986","45-49 years",0.2,2,934947
"1986","50-54 years",0.2,2,823266
"1986","55-59 years",0.2,2,829748
"1986","60-64 years",0.5,4,796086
"1986","65-69 years",0.6,4,701151
"1986","70-74 years",1.1,6,548077
"1986","75-79 years",0.5,2,403739
"1986","80-84 years",2.0,5,254559
"1986","85-89 years",~,0,0
"1986","90+ years",~,0,0
"1986","Unknown",~,0,0
"1987","00 years",~,0,0
"1987","01-04 years",~,0,0
"1987","05-09 years",~,0,0
"1987","10-14 years",~,0,0
"1987","15-19 years",~,0,0
"1987","20-24 years",0.1,1,1561982
"1987","25-29 years",0.1,1,1767108
"1987","30-34 years",0.1,1,1743588
"1987","35-39 years",0.1,1,1541250
"1987","40-44 years",0.2,3,1289495
"1987","45-49 years",0.4,4,973267
"1987","50-54 years",0.1,1,827790
"1987","55-59 years",0.5,4,819915
"1987","60-64 years",0.9,7,789099
"1987","65-69 years",0.7,5,715192
"1987","70-74 years",1.3,7,557361
"1987","75-79 years",0.7,3,416403
"1987","80-84 years",1.1,3,262068
"1987","85-89 years",~,0,0
"1987","90+ years",~,0,0
"1987","Unknown",~,0,0
"1988","00 years",~,0,0
"1988","01-04 years",~,0,0
"1988","05-09 years",~,0,0
"1988","10-14 years",~,0,0
"1988","15-19 years",~,0,0
"1988","20-24 years",0.0,0,1525680
"1988","25-29 years",0.0,0,1763191
"1988","30-34 years",0.1,2,1774278
"1988","35-39 years",0.1,2,1579864
"1988","40-44 years",0.0,0,1347999
"1988","45-49 years",0.1,1,1035181
"1988","50-54 years",0.6,5,847794
"1988","55-59 years",0.4,3,804691
"1988","60-64 years",0.1,1,790746
"1988","65-69 years",0.3,2,721536
"1988","70-74 years",0.7,4,568886
"1988","75-79 years",0.9,4,426949
"1988","80-84 years",1.5,4,270630
"1988","85-89 years",~,0,0
"1988","90+ years",~,0,0
"1988","Unknown",~,0,0
"1989","00 years",~,0,0
"1989","01-04 years",~,0,0
"1989","05-09 years",~,0,0
"1989","10-14 years",~,0,0
"1989","15-19 years",~,0,0
"1989","20-24 years",0.1,1,1500333
"1989","25-29 years",0.0,0,1752163
"1989","30-34 years",0.0,0,1788515
"1989","35-39 years",0.2,4,1621943
"1989","40-44 years",0.1,2,1416360
"1989","45-49 years",0.3,3,1082982
"1989","50-54 years",0.6,5,868594
"1989","55-59 years",0.6,5,792438
"1989","60-64 years",0.3,2,786320
"1989","65-69 years",1.0,7,731313
"1989","70-74 years",1.0,6,577972
"1989","75-79 years",2.7,12,437186
"1989","80-84 years",1.4,4,279170
"1989","85-89 years",~,0,0
"1989","90+ years",~,0,0
"1989","Unknown",~,0,0
"1990","00 years",~,0,0
"1990","01-04 years",~,0,0
"1990","05-09 years",~,0,0
"1990","10-14 years",~,0,0
"1990","15-19 years",~,0,0
"1990","20-24 years",0.0,0,1495791
"1990","25-29 years",0.0,0,1736464
"1990","30-34 years",0.0,0,1803629
"1990","35-39 years",0.1,2,1669135
"1990","40-44 years",0.1,2,1489472
"1990","45-49 years",0.0,0,1125706
"1990","50-54 years",0.1,1,885562
"1990","55-59 years",0.5,4,789940
"1990","60-64 years",0.8,6,781259
"1990","65-69 years",0.5,4,739062
"1990","70-74 years",0.5,3,589500
"1990","75-79 years",1.1,5,447646
"1990","80-84 years",1.0,3,287991
"1990","85-89 years",~,0,0
"1990","90+ years",~,0,0
"1990","Unknown",~,0,0
"1991","00 years",~,0,0
"1991","01-04 years",~,0,0
"1991","05-09 years",~,0,0
"1991","10-14 years",~,0,0
"1991","15-19 years",~,0,0
"1991","20-24 years",0.0,0,1494565
"1991","25-29 years",0.0,0,1715750
"1991","30-34 years",0.1,2,1839833
"1991","35-39 years",0.2,4,1720941
"1991","40-44 years",0.2,3,1569439
"1991","45-49 years",0.3,4,1156126
"1991","50-54 years",0.3,3,915604
"1991","55-59 years",0.5,4,790567
"1991","60-64 years",1.2,9,781849
"1991","65-69 years",1.4,10,733756
"1991","70-74 years",1.7,10,605651
"1991","75-79 years",1.3,6,460758
"1991","80-84 years",0.3,1,297057
"1991","85-89 years",~,0,0
"1991","90+ years",~,0,0
"1991","Unknown",~,0,0
"1992","00 years",~,0,0
"1992","01-04 years",~,0,0
"1992","05-09 years",~,0,0
"1992","10-14 years",~,0,0
"1992","15-19 years",~,0,0
"1992","20-24 years",0.1,2,1490389
"1992","25-29 years",0.0,0,1689712
"1992","30-34 years",0.2,3,1865033
"1992","35-39 years",0.3,6,1773947
"1992","40-44 years",0.3,4,1575606
"1992","45-49 years",0.3,4,1268299
"1992","50-54 years",0.3,3,956989
"1992","55-59 years",1.2,10,800947
"1992","60-64 years",0.6,5,776225
"1992","65-69 years",1.1,8,728457
"1992","70-74 years",0.6,4,622764
"1992","75-79 years",0.6,3,471753
"1992","80-84 years",1.6,5,308069
"1992","85-89 years",~,0,0
"1992","90+ years",~,0,0
"1992","Unknown",~,0,0
"1993","00 years",~,0,0
