"Year of death recode","Age at death with <1 yr olds and 90+","Age-Adjusted Rate","Standard Error","Lower Confidence Interval","Upper Confidence Interval","Count","Population"
"2000-2023","00 years",0.0000,~,0.0000,0.0144,0,25699738
"2000-2023","01-04 years",0.0000,~,0.0000,0.0036,0,103526874
"2000-2023","05-09 years",0.0000,~,0.0000,0.0028,0,132001597
"2000-2023","10-14 years",0.0007,0.0007,0.0000,0.0040,1,138033890
"2000-2023","15-19 years",0.0000,~,0.0000,0.0027,0,138444949
"2000-2023","20-24 years",0.0029,0.0014,0.0008,0.0074,4,138981475
"2000-2023","25-29 years",0.0165,0.0034,0.0104,0.0247,23,139760066
"2000-2023","30-34 years",0.0379,0.0052,0.0284,0.0495,53,139912110
"2000-2023","35-39 years",0.0689,0.0070,0.0558,0.0841,96,139395069
"2000-2023","40-44 years",0.1353,0.0099,0.1167,0.1561,188,138900782
"2000-2023","45-49 years",0.2297,0.0130,0.2050,0.2565,314,136718223
"2000-2023","50-54 years",0.3277,0.0157,0.2976,0.3601,433,132127383
"2000-2023","55-59 years",0.4886,0.0201,0.4500,0.5298,589,120537452
"2000-2023","60-64 years",0.6528,0.0253,0.6043,0.7043,668,102321498
"2000-2023","65-69 years",0.8118,0.0314,0.7514,0.8759,667,82159473
"2000-2023","70-74 years",0.9741,0.0391,0.8991,1.0538,622,63853230
"2000-2023","75-79 years",1.3367,0.0529,1.2350,1.4446,638,47728720
"2000-2023","80-84 years",1.6236,0.0694,1.4903,1.7655,547,33691061
"2000-2023","85-89 years",1.9529,0.0983,1.7651,2.1553,395,20226107
"2000-2023","90+ years",2.5056,0.1447,2.2300,2.8058,300,11973281
"2000","00 years",0.0000,~,0.0000,0.3455,0,1067776
"2000","01-04 years",0.0000,~,0.0000,0.0865,0,4266382
"2000","05-09 years",0.0000,~,0.0000,0.0647,0,5700897
"2000","10-14 years",0.0000,~,0.0000,0.0658,0,5603550
"2000","15-19 years",0.0000,~,0.0000,0.0680,0,5423634
"2000","20-24 years",0.0000,~,0.0000,0.0710,0,5197868
"2000","25-29 years",0.0000,~,0.0000,0.0691,0,5339196
"2000","30-34 years",0.0000,~,0.0000,0.0647,0,5702177
"2000","35-39 years",0.0000,~,0.0000,0.0600,0,6146055
"2000","40-44 years",0.0000,~,0.0000,0.0617,0,5982564
"2000","45-49 years",0.0000,~,0.0000,0.0696,0,5300905
"2000","50-54 years",0.1297,0.0529,0.0476,0.2823,6,4626098
"2000","55-59 years",0.0290,0.0290,0.0007,0.1616,1,3447696
"2000","60-64 years",0.1115,0.0644,0.0230,0.3258,3,2691241
"2000","65-69 years",0.1731,0.0866,0.0472,0.4433,4,2310517
"2000","70-74 years",0.1885,0.0942,0.0514,0.4826,4,2122158
"2000","75-79 years",0.5544,0.1753,0.2658,1.0195,10,1803814
"2000","80-84 years",0.2501,0.1444,0.0516,0.7308,3,1199627
"2000","85-89 years",0.2976,0.2104,0.0360,1.0749,2,672100
"2000","90+ years",0.8613,0.4973,0.1776,2.5172,3,348292
"2001","00 years",0.0000,~,0.0000,0.3304,0,1116321
"2001","01-04 years",0.0000,~,0.0000,0.0871,0,4236952
"2001","05-09 years",0.0000,~,0.0000,0.0657,0,5616969
"2001","10-14 years",0.0000,~,0.0000,0.0644,0,5727913
"2001","15-19 years",0.0000,~,0.0000,0.0675,0,5464048
"2001","20-24 years",0.0000,~,0.0000,0.0685,0,5387509
"2001","25-29 years",0.0000,~,0.0000,0.0704,0,5239280
"2001","30-34 years",0.0522,0.0302,0.0108,0.1526,3,5744207
"2001","35-39 years",0.0000,~,0.0000,0.0609,0,6061657
"2001","40-44 years",0.0659,0.0329,0.0179,0.1687,4,6072082
"2001","45-49 years",0.0920,0.0411,0.0299,0.2146,5,5436954
"2001","50-54 years",0.1855,0.0618,0.0848,0.3521,9,4852495
"2001","55-59 years",0.2800,0.0885,0.1343,0.5149,10,3571859
"2001","60-64 years",0.2529,0.0956,0.1017,0.5212,7,2767408
"2001","65-69 years",0.4734,0.1427,0.2363,0.8470,11,2323772
"2001","70-74 years",0.1891,0.0945,0.0515,0.4841,4,2115746
"2001","75-79 years",0.6643,0.1918,0.3432,1.1603,12,1806529
"2001","80-84 years",0.2410,0.1391,0.0497,0.7043,3,1244840
"2001","85-89 years",0.7321,0.3274,0.2377,1.7084,5,682997
"2001","90+ years",0.5648,0.3994,0.0684,2.0402,2,354116
"2002","00 years",0.0000,~,0.0000,0.3352,0,1100637
"2002","01-04 years",0.0000,~,0.0000,0.0862,0,4278611
"2002","05-09 years",0.0000,~,0.0000,0.0668,0,5521742
"2002","10-14 years",0.0000,~,0.0000,0.0632,0,5834011
"2002","15-19 years",0.0000,~,0.0000,0.0670,0,5508918
"2002","20-24 years",0.0000,~,0.0000,0.0668,0,5523290
"2002","25-29 years",0.0000,~,0.0000,0.0708,0,5211942
