"Year of diagnosis","Age recode with <1 year olds and 90+","Sex","Age-Adjusted Rate","Count","Population"
2000-2023,00 years,Male and female,0.0,0,25699738
2000-2023,00 years,Male,0.0,0,13143313
2000-2023,00 years,Female,0.0,0,12556425
2000-2023,01-04 years,Male and female,0.0,0,103526874
2000-2023,01-04 years,Male,0.0,0,52933060
2000-2023,01-04 years,Female,0.0,0,50593814
2000-2023,05-09 years,Male and female,0.0,0,132001597
2000-2023,05-09 years,Male,0.0,0,67498205
2000-2023,05-09 years,Female,0.0,0,64503392
2000-2023,10-14 years,Male and female,0.0,2,138033890
2000-2023,10-14 years,Male,0.0,2,70651168
2000-2023,10-14 years,Female,0.0,0,67382722
2000-2023,15-19 years,Male and female,0.0,9,138444949
2000-2023,15-19 years,Male,0.0,4,71104265
2000-2023,15-19 years,Female,0.0,5,67340684
2000-2023,20-24 years,Male and female,0.0,41,138981475
2000-2023,20-24 years,Male,0.0,24,71583470
2000-2023,20-24 years,Female,0.0,17,67398005
2000-2023,25-29 years,Male and female,0.1,123,139760066
2000-2023,25-29 years,Male,0.1,72,71196763
2000-2023,25-29 years,Female,0.1,51,68563303
2000-2023,30-34 years,Male and female,0.2,238,139912110
2000-2023,30-34 years,Male,0.2,112,70806648
2000-2023,30-34 years,Female,0.2,126,69105462
2000-2023,35-39 years,Male and female,0.3,403,139395069
2000-2023,35-39 years,Male,0.3,188,70134319
2000-2023,35-39 years,Female,0.3,215,69260750
2000-2023,40-44 years,Male and female,0.4,606,138900782
2000-2023,40-44 years,Male,0.4,286,69414696
2000-2023,40-44 years,Female,0.5,320,69486086
2000-2023,45-49 years,Male and female,0.7,930,136718223
2000-2023,45-49 years,Male,0.6,415,67966748
2000-2023,45-49 years,Female,0.7,515,68751475
2000-2023,50-54 years,Male and female,1.0,1284,132127383
2000-2023,50-54 years,Male,0.8,554,65280574
2000-2023,50-54 years,Female,1.1,730,66846809
2000-2023,55-59 years,Male and female,1.2,1401,120537452
2000-2023,55-59 years,Male,1.1,643,58933892
2000-2023,55-59 years,Female,1.2,758,61603560
2000-2023,60-64 years,Male and female,1.5,1505,102321498
2000-2023,60-64 years,Male,1.4,706,49342403
2000-2023,60-64 years,Female,1.5,799,52979095
2000-2023,65-69 years,Male and female,1.7,1417,82159473
2000-2023,65-69 years,Male,1.7,667,38746623
2000-2023,65-69 years,Female,1.7,750,43412850
2000-2023,70-74 years,Male and female,2.0,1246,63853230
2000-2023,70-74 years,Male,2.1,604,29183125
2000-2023,70-74 years,Female,1.9,642,34670105
2000-2023,75-79 years,Male and female,2.1,993,47728720
2000-2023,75-79 years,Male,2.3,488,20808693
2000-2023,75-79 years,Female,1.9,505,26920027
2000-2023,80-84 years,Male and female,1.9,639,33691061
2000-2023,80-84 years,Male,2.2,297,13660693
2000-2023,80-84 years,Female,1.7,342,20030368
2000-2023,85-89 years,Male and female,1.5,310,20226107
2000-2023,85-89 years,Male,2.0,147,7360918
2000-2023,85-89 years,Female,1.3,163,12865189
2000-2023,90+ years,Male and female,1.1,137,11973281
2000-2023,90+ years,Male,1.6,58,3567928
2000-2023,90+ years,Female,0.9,79,8405353
2000-2023,Unknown,Male and female,~,0,0
2000-2023,Unknown,Male,~,0,0
2000-2023,Unknown,Female,~,0,0
2000,00 years,Male and female,0.0,0,1067776
2000,00 years,Male,0.0,0,547071
2000,00 years,Female,0.0,0,520705
2000,01-04 years,Male and female,0.0,0,4266382
2000,01-04 years,Male,0.0,0,2181851
2000,01-04 years,Female,0.0,0,2084531
2000,05-09 years,Male and female,0.0,0,5700897
2000,05-09 years,Male,0.0,0,2920189
2000,05-09 years,Female,0.0,0,2780708
2000,10-14 years,Male and female,0.0,0,5603550
2000,10-14 years,Male,0.0,0,2871218
2000,10-14 years,Female,0.0,0,2732332
2000,15-19 years,Male and female,0.0,1,5423634
2000,15-19 years,Male,0.0,1,2798779
2000,15-19 years,Female,0.0,0,2624855
2000,20-24 years,Male and female,0.0,2,5197868
2000,20-24 years,Male,0.0,1,2683363
2000,20-24 years,Female,0.0,1,2514505
2000,25-29 years,Male and female,0.1,4,5339196
2000,25-29 years,Male,0.1,2,2723170
2000,25-29 years,Female,0.1,2,2616026
2000,30-34 years,Male and female,0.1,4,5702177
2000,30-34 years,Male,0.0,0,2893335
2000,30-34 years,Female,0.1,4,2808842
