age_group,stage_group,analysis,years,cases_total,apc_percent_wls,apc_lcl,apc_ucl
20-49,Distant,incidence,2004-2023,1050.0,2.8898913262363157,1.71762389717387,4.075668812578792
20-49,Localized,incidence,2004-2023,398.0,1.7529703173744693,-0.15273910877107166,3.6950525832402326
20-49,Overall,incidence,2004-2023,2056.0,3.143132897000789,2.228716986692114,4.065728079060804
20-49,Regional,incidence,2004-2023,556.0,4.9173502011966574,3.0098863954015176,6.860135064977002
50-64,Distant,incidence,2004-2023,1880.0,3.030597181286554,1.7671240032107072,4.309756805131126
50-64,Localized,incidence,2004-2023,799.0,0.9237478509090291,-0.6479966540039572,2.520357287635422
50-64,Overall,incidence,2004-2023,3817.0,2.895474622723837,1.8598769764576195,3.9416010710737304
50-64,Regional,incidence,2004-2023,1026.0,4.07700833600837,2.3099713448169856,5.874564539425053
65+,Distant,incidence,2004-2023,1698.0,4.0192712207196335,3.1971602923854814,4.847931422081975
65+,Localized,incidence,2004-2023,1109.0,0.20196888238961375,-1.1584351013750882,1.5810967603069326
65+,Overall,incidence,2004-2023,4278.0,3.3435561334531627,2.363855340371579,4.332633416319842
65+,Regional,incidence,2004-2023,1371.0,5.105366653557852,3.4121786019450706,6.82627760799388
