age_group,stage_group,cases_recent,population_recent,rate_per_100k_recent,cases_base,population_base,rate_per_100k_base,rate_ratio,rate_ratio_lcl,rate_ratio_ucl
20-49,Distant,311,177109835,0.1755972501470627,181,171419290,0.10558905010048752,1.6630251903956843,1.3845827484988362,1.9974629807348971
20-49,Localized,110,177109835,0.0621083521420479,88,171419290,0.05133611275603814,1.2098374576431623,0.9140847539840288,1.6012811367183628
20-49,Overall,642,177109835,0.36248692795631593,389,171419290,0.22692895297839583,1.5973586587288646,1.408348019763798,1.811735912437334
20-49,Regional,208,177109835,0.11744124768678148,106,171419290,0.061836681274318656,1.8992165372813419,1.5031128352315555,2.3997023849026387
20-49,Unknown/blank,13,177109835,0.007340077980423842,14,171419290,0.008167108847551521,0.8987363971063492,0.4224484657425465,1.9120133625386535
50-64,Distant,596,82260776,0.724525136986308,312,67079591,0.46511911499281505,1.557719546739119,1.3583373325610462,1.7863678838290897
50-64,Localized,239,82260776,0.2905394425163215,162,67079591,0.24150415586165397,1.203041171195238,0.9854915945512565,1.468615326191434
50-64,Overall,1240,82260776,1.5074012917164799,680,67079591,1.0137211480612636,1.4869979723707816,1.3542277424079194,1.6327851664766522
50-64,Regional,371,82260776,0.4510047413119468,185,67079591,0.275791782928432,1.6353088425008753,1.3708386660643135,1.950802145112596
50-64,Unknown/blank,34,82260776,0.04133197090190348,21,67079591,0.03130609427836255,1.3202531920588507,0.7663140507505473,2.274613768903728
65+,Distant,639,69065040,0.9252148409672969,225,45284746,0.4968560494962255,1.8621386252726415,1.5996517179713954,2.1676970185295605
65+,Localized,346,69065040,0.5009770500386302,226,45284746,0.4990642986050976,1.0038326753464009,0.8489045391033774,1.1870357545236307
65+,Overall,1588,69065040,2.2992819522004186,657,45284746,1.4508196645289784,1.5848158171656028,1.447081615649228,1.7356596526253556
65+,Regional,560,69065040,0.8108299075769738,193,45284746,0.4261920780123179,1.9024987779184837,1.6153781460907104,2.240652820976119
65+,Unknown/blank,43,69065040,0.06226015361751763,13,45284746,0.028707238415337476,2.168796340377128,1.166271338347454,4.033090252134715
