outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,20-49,Distant,None,0,139.88569744366487,141.87716199077286,False,1.1222758441497767
Incidence,20-49,Distant,2008,1,136.6818135407347,139.6690103613967,False,1.0
Incidence,20-49,Distant,2009,1,135.15782310492855,138.14501992559053,False,1.0
Incidence,20-49,Distant,2010,1,135.02111650631107,138.00831332697305,True,1.0
Incidence,20-49,Distant,2011,1,135.62313456382353,138.6103313844855,False,1.0
Incidence,20-49,Distant,2012,1,136.3736543880236,139.36085120868557,False,1.0
Incidence,20-49,Distant,2013,1,137.53689189986275,140.52408872052473,False,1.0
Incidence,20-49,Distant,2014,1,138.83464414730858,141.82184096797056,False,1.0108535120498847
Incidence,20-49,Distant,2015,1,139.71361305899273,142.7008098796547,False,1.060771129967102
Incidence,20-49,Distant,2016,1,140.57204851340225,143.55924533406423,False,1.108506221763886
Incidence,20-49,Distant,2017,1,140.80544699546107,143.79264381612305,False,1.122136114842853
Incidence,20-49,Distant,2018,1,141.55009420040346,144.53729102106544,False,1.1670434215757068
Incidence,20-49,Distant,2019,1,141.85600341063164,144.84320023129362,False,1.1861156036268579
Incidence,20-49,Distant,2008;2012,2,137.92285580172273,141.9057848959387,False,1.0
Incidence,20-49,Distant,2008;2013,2,138.33353254335415,142.31646163757011,False,1.0
Incidence,20-49,Distant,2008;2014,2,138.61362887911122,142.59655797332718,False,1.0
Incidence,20-49,Distant,2008;2015,2,138.67816366569016,142.66109275990613,False,1.0
Incidence,20-49,Distant,2008;2016,2,138.64642514994534,142.6293542441613,False,1.0
Incidence,20-49,Distant,2008;2017,2,138.65646716734582,142.63939626156179,False,1.0
Incidence,20-49,Distant,2008;2018,2,138.39742253806588,142.38035163228184,False,1.0
Incidence,20-49,Distant,2008;2019,2,137.99945765835568,141.98238675257164,False,1.0
Incidence,20-49,Distant,2009;2013,2,137.15240638929242,141.13533548350838,False,1.0
Incidence,20-49,Distant,2009;2014,2,137.03439273650096,141.01732183071692,False,1.0
Incidence,20-49,Distant,2009;2015,2,136.91990283407304,140.902831928289,False,1.0
