outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,20-49,Distant,None,0,133.4502008047326,135.33907876306546,False,1.1531470309237208
Incidence,20-49,Distant,2008,1,130.46815277898415,133.30146971648347,False,1.0
Incidence,20-49,Distant,2009,1,128.9929581849062,131.82627512240552,False,1.0
Incidence,20-49,Distant,2010,1,128.87686227637178,131.7101792138711,True,1.0
Incidence,20-49,Distant,2011,1,129.4813470714755,132.31466400897483,False,1.0
Incidence,20-49,Distant,2012,1,130.22471958959463,133.05803652709395,False,1.0
Incidence,20-49,Distant,2013,1,131.3619760578391,134.1952929953384,False,1.0
Incidence,20-49,Distant,2014,1,132.6157775313859,135.44909446888522,False,1.0501762120480747
Incidence,20-49,Distant,2015,1,133.44848035285895,136.28179729035827,False,1.1002083071867277
Incidence,20-49,Distant,2016,1,134.2454430218886,137.07875995938792,False,1.1470709276525586
Incidence,20-49,Distant,2017,1,134.42644800684616,137.25976494434548,False,1.158096909866277
Incidence,20-49,Distant,2018,1,135.09760366815135,137.93092060565067,False,1.2010945654181628
Incidence,20-49,Distant,2019,1,135.37935895746216,138.21267589496148,False,1.2197792539686065
Incidence,20-49,Distant,2008;2012,2,131.7694731678614,135.54722908452717,False,1.0
Incidence,20-49,Distant,2008;2013,2,132.1613545280899,135.93911044475567,False,1.0
Incidence,20-49,Distant,2008;2014,2,132.41692658586965,136.19468250253541,False,1.0
Incidence,20-49,Distant,2008;2015,2,132.46720333483532,136.2449592515011,False,1.0
Incidence,20-49,Distant,2008;2016,2,132.42533894070357,136.20309485736934,False,1.0
Incidence,20-49,Distant,2008;2017,2,132.44276666351132,136.2205225801771,False,1.0
Incidence,20-49,Distant,2008;2018,2,132.21803219678446,135.99578811345023,False,1.0
Incidence,20-49,Distant,2008;2019,2,131.9181001230069,135.69585603967266,False,1.0
Incidence,20-49,Distant,2009;2013,2,130.9824108776942,134.76016679435998,False,1.0
Incidence,20-49,Distant,2009;2014,2,130.849608428666,134.62736434533176,False,1.0
Incidence,20-49,Distant,2009;2015,2,130.73316528245007,134.51092119911584,False,1.0
Incidence,20-49,Distant,2009;2016,2,130.51298334474725,134.29073926141302,False,1.0
Incidence,20-49,Distant,2009;2017,2,130.65903286150453,134.4367887781703,False,1.0
Incidence,20-49,Distant,2009;2018,2,130.21865544346653,133.9964113601323,False,1.0
Incidence,20-49,Distant,2009;2019,2,129.81856607213714,133.5963219888029,False,1.0
Incidence,20-49,Distant,2010;2014,2,130.2254385228055,134.00319443947126,False,1.0
Incidence,20-49,Distant,2010;2015,2,130.08836848778014,133.8661244044459,False,1.0
Incidence,20-49,Distant,2010;2016,2,129.8117031478728,133.58945906453857,False,1.0
Incidence,20-49,Distant,2010;2017,2,130.13817270397485,133.9159286206406,False,1.0
Incidence,20-49,Distant,2010;2018,2,129.57996972988008,133.35772564654584,False,1.0
Incidence,20-49,Distant,2010;2019,2,129.1429496374078,132.92070555407358,False,1.0
Incidence,20-49,Distant,2011;2015,2,130.13351764111152,133.9112735577773,False,1.0
Incidence,20-49,Distant,2011;2016,2,129.85327913278053,133.6310350494463,False,1.0
Incidence,20-49,Distant,2011;2017,2,130.38365643361948,134.16141235028525,False,1.0
Incidence,20-49,Distant,2011;2018,2,129.7474232929709,133.52517920963666,False,1.0
Incidence,20-49,Distant,2011;2019,2,129.2994076214087,133.07716353807447,False,1.0
Incidence,20-49,Distant,2012;2016,2,129.9256146050726,133.70337052173838,False,1.0
Incidence,20-49,Distant,2012;2017,2,130.75027795869505,134.52803387536082,False,1.0
Incidence,20-49,Distant,2012;2018,2,130.04456413877054,133.8223200554363,False,1.0
Incidence,20-49,Distant,2012;2019,2,129.602315065213,133.38007098187876,False,1.0
Incidence,20-49,Distant,2013;2017,2,131.8099958255266,135.58775174219238,False,1.0
Incidence,20-49,Distant,2013;2018,2,131.0245581357326,134.80231405239837,False,1.0
