outcome,AgeGroup,Stage,joinpoints,n_years,total_count,best_aic,best_bic,dispersion,segment,start_year,end_year,apc_percent,apc_lcl,apc_ucl
Incidence,20-49,Distant,2010,20,1050,135.02111650631107,138.00831332697305,1.0,1,2004,2010,9.115578521752244,4.247732670088067,14.210728340885481
Incidence,20-49,Distant,2010,20,1050,135.02111650631107,138.00831332697305,1.0,2,2010,2023,1.3541065197012037,-0.2363339447548185,2.9699019151756767
Incidence,20-49,Localized,None,20,398,126.74272348653989,128.73418803364788,1.3331704993098372,1,2004,2023,1.6108970153112967,-0.3758974330776321,3.6373139253178755
Incidence,20-49,Overall,2012;2019,20,2056,150.14115763222537,154.12408672644133,1.0,1,2004,2012,4.760031159745615,2.3211750381460616,7.257018153861483
Incidence,20-49,Overall,2012;2019,20,2056,150.14115763222537,154.12408672644133,1.0,2,2012,2019,-0.3669314252895295,-2.6423447313524973,1.9616621437853476
Incidence,20-49,Overall,2012;2019,20,2056,150.14115763222537,154.12408672644133,1.0,3,2019,2023,11.194607585551687,6.329625623837387,16.282180846247286
Incidence,20-49,Regional,2019,20,556,124.77633377702784,127.76353059768982,1.0245251214384123,1,2004,2019,2.036486522741887,-0.0606289530067361,4.1776076118194005
Incidence,20-49,Regional,2019,20,556,124.77633377702784,127.76353059768982,1.0245251214384123,2,2019,2023,20.190692037751745,11.7146824562697,29.30979290182769
Incidence,50-64,Distant,None,20,1880,172.40044639834645,174.39191094545444,2.2779734710044273,1,2004,2023,3.0011905901597524,1.7452278305997382,4.272657196799723
Incidence,50-64,Localized,2009;2018,20,799,132.94507022004194,136.92799931425793,1.0,1,2004,2009,7.428195064336851,0.5780922938396493,14.74483987093953
Incidence,50-64,Localized,2009;2018,20,799,132.94507022004194,136.92799931425793,1.0,2,2009,2018,-4.152082786839662,-6.858856869651387,-1.366647162101975
Incidence,50-64,Localized,2009;2018,20,799,132.94507022004194,136.92799931425793,1.0,3,2018,2023,11.838966702409671,5.788084715010955,18.2359479024377
Incidence,50-64,Overall,2008;2019,20,3817,187.18393339788418,191.16686249210014,2.325609369537163,1,2004,2008,7.021673880560431,0.41726440648583996,14.060453129185735
Incidence,50-64,Overall,2008;2019,20,3817,187.18393339788418,191.16686249210014,2.325609369537163,2,2008,2019,0.778438271120474,-0.843219195202205,2.426617100044215
Incidence,50-64,Overall,2008;2019,20,3817,187.18393339788418,191.16686249210014,2.325609369537163,3,2019,2023,10.064983722858734,5.056313600670359,15.312447455189005
Incidence,50-64,Regional,2019,20,1026,146.42211060209166,149.40930742275364,1.5519040501353825,1,2004,2019,1.5633881273189987,-0.3560732723638993,3.519824505667124
Incidence,50-64,Regional,2019,20,1026,146.42211060209166,149.40930742275364,1.5519040501353825,2,2019,2023,17.61385686760024,9.998838915554087,25.75604855149369
Incidence,65+,Distant,2011,20,1698,140.2246234255933,143.2118202462553,1.0,1,2004,2011,7.639237204272109,4.118567962312869,11.27895449072387
Incidence,65+,Distant,2011,20,1698,140.2246234255933,143.2118202462553,1.0,2,2011,2023,2.9169660600514735,1.5600581342726683,4.292003151497048
Incidence,65+,Localized,2008;2019,20,1109,140.62412161262475,144.6070507068407,1.0145853088924697,1,2004,2008,11.059868913988335,3.0190415025072026,19.728297830184015
Incidence,65+,Localized,2008;2019,20,1109,140.62412161262475,144.6070507068407,1.0145853088924697,2,2008,2019,-3.217221397727421,-5.1100458830988575,-1.2866396537950964
Incidence,65+,Localized,2008;2019,20,1109,140.62412161262475,144.6070507068407,1.0145853088924697,3,2019,2023,10.177489637207682,4.006631418010698,16.71447346438044
Incidence,65+,Overall,2013;2019,20,4278,177.67817732472759,181.66110641894355,1.673970872543693,1,2004,2013,4.260038117633158,2.208408467948564,6.352850134625476
Incidence,65+,Overall,2013;2019,20,4278,177.67817732472759,181.66110641894355,1.673970872543693,2,2013,2019,-0.8521083062636992,-3.2277675091584856,1.5818708971419015
Incidence,65+,Overall,2013;2019,20,4278,177.67817732472759,181.66110641894355,1.673970872543693,3,2019,2023,12.11284804637154,7.9233063479067445,16.465026159871577
Incidence,65+,Regional,2015;2019,20,1371,149.72356434150163,153.7064934357176,1.3624402432620555,1,2004,2015,3.5868543526590857,0.9654854651071298,6.2762818922639685
Incidence,65+,Regional,2015;2019,20,1371,149.72356434150163,153.7064934357176,1.3624402432620555,2,2015,2019,-2.315615381823255,-7.9858836966968045,3.704076956823732
Incidence,65+,Regional,2015;2019,20,1371,149.72356434150163,153.7064934357176,1.3624402432620555,3,2019,2023,21.615138977886296,14.326077668190473,29.36892728478311
IBM,20-49,,2016,20,630,121.4813073742165,124.46850419487848,1.0,1,2004,2016,3.0921365630708353,0.682409839060405,5.559537541141069
IBM,20-49,,2016,20,630,121.4813073742165,124.46850419487848,1.0,2,2016,2023,-3.017793117197509,-7.039624933179001,1.1780389773372368
IBM,50-64,,2010,20,1588,138.36149651535797,141.34869333601995,1.0,1,2004,2010,9.931472974288113,5.660055418849819,14.37556702379581
IBM,50-64,,2010,20,1588,138.36149651535797,141.34869333601995,1.0,2,2010,2023,1.2552485386096324,-0.03411288705340576,2.5612401661745388
IBM,65+,,2017,20,3007,156.21693844441376,159.20413526507573,1.0,1,2004,2017,5.521501482837543,4.360442515530161,6.695477776797354
IBM,65+,,2017,20,3007,156.21693844441376,159.20413526507573,1.0,2,2017,2023,1.2154597321110794,-0.8157598698897095,3.288277203553025
