outcome,AgeGroup,Stage,joinpoints,n_years,total_count,best_aic,best_bic,dispersion,segment,start_year,end_year,apc_percent,apc_lcl,apc_ucl
Incidence,20-49,Distant,2010,19,992,128.87686227637178,131.7101792138711,1.0,1,2004,2010,9.077585911559648,4.2109087955393365,14.171538141340534
Incidence,20-49,Distant,2010,19,992,128.87686227637178,131.7101792138711,1.0,2,2010,2023,1.4520510361881733,-0.18291574529011312,3.1137979665407434
Incidence,20-49,Localized,None,19,389,111.40149194679604,113.29036990512893,1.0,1,2004,2023,2.2758900919525926,0.5145356260160661,4.068109442608048
Incidence,20-49,Overall,2012;2019,19,1955,141.3643015699551,145.14205748662087,1.0,1,2004,2012,4.586224438201114,2.141948447234654,7.088992412244455
Incidence,20-49,Overall,2012;2019,19,1955,141.3643015699551,145.14205748662087,1.0,2,2012,2019,0.24914928450190388,-2.1623649833858782,2.720102857757589
Incidence,20-49,Overall,2012;2019,19,1955,141.3643015699551,145.14205748662087,1.0,3,2019,2023,10.417253206697264,5.524958329133556,15.536362191065777
Incidence,20-49,Regional,2018,19,525,119.27695122026967,122.11026815776899,1.0724714213006565,1,2004,2018,1.8007274833615305,-0.5702231813350944,4.2282146025719225
Incidence,20-49,Regional,2018,19,525,119.27695122026967,122.11026815776899,1.0724714213006565,2,2018,2023,16.35622345206571,9.668883479468992,23.451341041158933
Incidence,50-64,Distant,None,19,1776,163.7008260712537,165.58970402958656,2.2648628936678503,1,2004,2023,3.1543628846819827,1.867125484159371,4.457866378092046
Incidence,50-64,Localized,2009;2018,19,761,126.91774714745505,130.6955030641208,1.0,1,2004,2009,7.266567826631198,0.41595490814869684,14.584545691269991
Incidence,50-64,Localized,2009;2018,19,761,126.91774714745505,130.6955030641208,1.0,2,2009,2018,-3.922691142106538,-6.695125202041774,-1.0678777784818294
Incidence,50-64,Localized,2009;2018,19,761,126.91774714745505,130.6955030641208,1.0,3,2018,2023,11.74934908914491,5.734542438552914,18.106313545593288
Incidence,50-64,Overall,2008;2018,19,3614,177.131129169651,180.90888508631676,2.234874936982418,1,2004,2008,7.008515130126725,0.44703653510269614,13.99860767771781
Incidence,50-64,Overall,2008;2018,19,3614,177.131129169651,180.90888508631676,2.234874936982418,2,2008,2018,0.7776514678983437,-1.024528076169584,2.612645718942952
Incidence,50-64,Overall,2008;2018,19,3614,177.131129169651,180.90888508631676,2.234874936982418,3,2018,2023,8.011043752197565,4.222761850497614,11.937021868351483
Incidence,50-64,Regional,2017,19,973,138.73606959038824,141.56938652788756,1.5197968066007286,1,2004,2017,1.1314166304183582,-1.1304989509328123,3.4450798391254978
Incidence,50-64,Regional,2017,19,973,138.73606959038824,141.56938652788756,1.5197968066007286,2,2017,2023,12.099484177380916,7.386020989589581,17.01983402526015
Incidence,65+,Distant,2011,19,1584,133.10877345888733,135.94209039638665,1.0,1,2004,2011,7.627838036883006,4.1089553768099085,11.265658929796384
Incidence,65+,Distant,2011,19,1584,133.10877345888733,135.94209039638665,1.0,2,2011,2023,3.020114836975063,1.6377756097480267,4.421254768248084
Incidence,65+,Localized,2008;2019,19,1055,133.91435557554172,137.6921114922075,1.0161384315247506,1,2004,2008,10.72569568177515,2.677326512433198,19.404936811716578
Incidence,65+,Localized,2008;2019,19,1055,133.91435557554172,137.6921114922075,1.0161384315247506,2,2008,2019,-2.9414900729849647,-4.922808498361498,-0.918882852254499
Incidence,65+,Localized,2008;2019,19,1055,133.91435557554172,137.6921114922075,1.0161384315247506,3,2019,2023,9.728565414327406,3.542920628277213,16.283740064776087
Incidence,65+,Overall,2008;2019,19,4020,168.96580714984975,172.74356306651552,1.6796975045347693,1,2004,2008,8.482143550329635,2.723411696807032,14.563713129089217
Incidence,65+,Overall,2008;2019,19,4020,168.96580714984975,172.74356306651552,1.6796975045347693,2,2008,2019,1.1086335561878657,-0.28593431044097173,2.5227053866876403
Incidence,65+,Overall,2008;2019,19,4020,168.96580714984975,172.74356306651552,1.6796975045347693,3,2019,2023,10.54084807363802,6.687796618968833,14.533053264562046
Incidence,65+,Regional,2019,19,1291,142.40503185280912,145.23834879030844,1.426168247812657,1,2004,2019,2.331932580886331,0.6120408188980297,4.081224677555073
Incidence,65+,Regional,2019,19,1291,142.40503185280912,145.23834879030844,1.426168247812657,2,2019,2023,17.867959122358812,11.800155243936029,24.26508493979562
IBM,20-49,,2016,19,604,114.52751394989009,117.36083088738941,1.0,1,2004,2016,3.203515187111461,0.7907511551944246,5.674036803003157
IBM,20-49,,2016,19,604,114.52751394989009,117.36083088738941,1.0,2,2016,2023,-2.489494005454762,-6.549875414401029,1.7473098241059803
IBM,50-64,,2010,19,1484,131.32920338327216,134.16252032077148,1.0,1,2004,2010,9.983420613432026,5.706079929086738,14.433841629033829
IBM,50-64,,2010,19,1484,131.32920338327216,134.16252032077148,1.0,2,2010,2023,1.1325774520417609,-0.19761386414186566,2.480497892810063
IBM,65+,,2019,19,2793,148.7354519139493,151.56876885144862,1.0,1,2004,2019,5.215344168826164,4.223507343455202,6.21661975051262
IBM,65+,,2019,19,2793,148.7354519139493,151.56876885144862,1.0,2,2019,2023,-0.5464848584892268,-3.6508403535021827,2.65789250567936
