stage_group,outcome,age_group,apc_percent_poisson,apc_lcl,apc_ucl,apc_p,apc_lcl_quasi,apc_ucl_quasi,apc_p_quasi,pearson_dispersion,cases_total,model_iterations,slope_ratio_vs_20_49,interaction_p_vs_20_49,interaction_p_vs_20_49_quasi
Distant,incidence,20-49,2.9506730034262407,1.8653234367360438,4.047586698537908,7.538706903176262e-08,1.6644477878982933,4.253171118095023,5.801820684769865e-06,1.4071823249536501,1050.0,6,1.0,,
Distant,incidence,50-64,3.0011905901598857,2.1673176618369094,3.8418694528707054,1.0036416142611415e-12,2.0127585891453137,3.9991998032226306,1.8486749908674938e-09,1.4071823249536501,1880.0,6,1.0004906970033305,0.9426110229319751,0.9516093143171107
Distant,incidence,65+,4.039148348991306,3.1466332102059624,4.9393863115680725,0.0,2.9812525791121036,5.107911567380818,3.108624468950438e-14,1.4071823249536501,1698.0,6,1.0105727851388484,0.13123967037248274,0.20327580282303348
Localized,incidence,20-49,1.6108970153110524,-0.11209225959428748,3.363606524713192,0.0670313053892353,-0.5838809080880747,3.8541283502599555,0.15146248209602264,1.6302922239612083,398.0,7,1.0,,
Localized,incidence,50-64,0.7872481931415543,-0.4458097401476957,2.0355785309662533,0.21181947862968342,-0.7844819007234327,2.3838769675283533,0.32813660579554726,1.6302922239612083,799.0,7,0.9918940896462571,0.44901807152883144,0.5532369827150938
Localized,incidence,65+,0.16949062125444225,-0.8542263488576229,1.2037778496468032,0.7466060766366986,-1.1357672828382626,1.4919812307388813,0.8002197912363131,1.6302922239612083,1109.0,7,0.9858144506505101,0.16042584656259606,0.2716294850097969
Overall,incidence,20-49,3.099345132564024,2.320707290767454,3.883908235285083,3.1086244689504383e-15,1.8352443427928078,4.379137452482906,1.2389647436883422e-06,2.6482219910856823,2056.0,7,1.0,,
Overall,incidence,50-64,2.7903408702681043,2.2065291175849433,3.3774874017125756,0.0,1.8419768146778814,3.747536199661794,5.9005791364086235e-09,2.6482219910856823,3817.0,7,0.9970028494177281,0.5349644463347247,0.7030068892161132
Overall,incidence,65+,3.2626587104348737,2.7088930700551517,3.819410035649673,0.0,2.363012888465721,4.170211320042938,6.414868636284154e-13,2.6482219910856823,4278.0,7,1.0015840408846524,0.7385453311533445,0.8374873995296883
Regional,incidence,20-49,4.878634535078574,3.3395827304234293,6.4406076676008395,2.695521583717664e-10,2.4337929760751997,7.381828421716907,7.552668082499991e-05,2.5456939212299723,556.0,7,1.0,,
Regional,incidence,50-64,4.0915754405173255,2.9419912697589368,5.253997363385965,1.468603016974157e-12,2.2634280431555798,5.952404344556794,9.173000422357802e-06,2.5456939212299723,1026.0,7,0.9924955249651156,0.424579128288999,0.6167482600709842
Regional,incidence,65+,4.9063172473131855,3.893691540003319,5.928812762961777,0.0,3.2952993574908884,6.542460952709561,1.3099810125538625e-09,2.5456939212299723,1371.0,7,1.0002639499680492,0.9766608898262987,0.9853708594134034
