age_group,birth_cohort,cases,population,min_year,max_year,rate_per_100k
20-49,1930-1939,459.0,173209598.0,1975,1986,0.26499686235632275
20-49,1940-1949,212.0,219494721.0,1975,1996,0.0965854663994402
20-49,1950-1959,208.0,177325561.0,1975,2006,0.11729837414697365
20-49,1960-1969,237.0,105128716.0,1982,2016,0.22543792887187933
20-49,1970-1979,251.0,95208781.0,1992,2023,0.26363114553478006
20-49,1980-1989,128.0,72213905.0,2002,2023,0.17725118174955362
20-49,1990-1999,40.0,35986110.0,2012,2023,0.11115399802868384
20-49,2000+,2.0,3630259.0,2022,2023,0.05509248789135982
20-49,<1930,365.0,71604637.0,1975,1976,0.5097435240122787
50-64,1930-1939,144.0,24546262.0,1982,2001,0.5866473681410228
50-64,1940-1949,304.0,35336726.0,1992,2011,0.8602947539622092
50-64,1950-1959,573.0,49166253.0,2002,2021,1.1654335342577355
50-64,1960-1969,440.0,33267362.0,2012,2023,1.322617645486889
50-64,1970-1979,61.0,3418298.0,2022,2023,1.7845138135996335
50-64,<1930,1784.0,204214821.0,1975,1991,0.8735898752422088
65-84,1930-1939,374.0,23681154.0,1997,2021,1.5793149269668192
65-84,1940-1949,553.0,26419332.0,2007,2023,2.0931642026376744
65-84,1950-1959,299.0,12343683.0,2017,2023,2.4222916288436767
65-84,<1930,2388.0,174662435.0,1975,2011,1.3672086960198397
