stage_group,outcome,age_group,apc_percent_poisson,apc_lcl,apc_ucl,apc_p,apc_lcl_quasi,apc_ucl_quasi,apc_p_quasi,pearson_dispersion,cases_total,model_iterations,slope_ratio_vs_20_49,interaction_p_vs_20_49,interaction_p_vs_20_49_quasi
Distant,incidence_no_2020,20-49,3.050732910114795,1.9337211563989154,4.1799851201172356,6.502669380736847e-08,1.7242381437950982,4.394525307728503,5.460929112466317e-06,1.4131467121421062,992.0,6,1.0,,
Distant,incidence_no_2020,50-64,3.154362884681561,2.297224395327402,4.0186832540356265,2.984279490192421e-13,2.1362331127431577,4.182641731056269,8.422376129857412e-10,1.4131467121421062,1776.0,6,1.0010056209367977,0.8858750843197976,0.9039003636666207
Distant,incidence_no_2020,65+,4.127214669018353,3.2139675054525307,5.048542331783268,0.0,3.0424851365127292,5.223363162908035,3.730349362740526e-14,1.4131467121421062,1584.0,6,1.0104461339430018,0.14609618514678502,0.22145427055073186
Localized,incidence_no_2020,20-49,2.2758900919516822,0.5145356260153777,4.068109442606915,0.011115380555053678,0.1587966690137499,4.437733299336988,0.03497223035262653,1.4498443336356628,389.0,7,1.0,,
Localized,incidence_no_2020,50-64,0.9660658841104786,-0.3045763686899239,2.2529027793106504,0.13677309138982885,-0.5619364019377793,2.517548021854221,0.21656519791384365,1.4498443336356628,761.0,7,0.9871932260216597,0.23993624873258845,0.32908520338581604
Localized,incidence_no_2020,65+,0.38573275821074393,-0.6660579199613714,1.4486602503209989,0.4737359694823906,-0.8793650709183143,1.6669773010731248,0.5518561107390916,1.4498443336356628,1055.0,7,0.9815190331558925,0.07190716557110122,0.13500470510629725
Overall,incidence_no_2020,20-49,3.32498709972604,2.5252119009947283,4.131001157725689,0.0,2.0862734646800662,4.578731271371828,1.0637955716319425e-07,2.4091631786682024,1955.0,7,1.0,,
Overall,incidence_no_2020,50-64,2.972820852896252,2.3727582234358557,3.576400777050326,0.0,2.042934599085089,3.9111808775610823,2.458870884680664e-10,2.4091631786682024,3614.0,7,0.9965916642555214,0.49130525038994577,0.6574708887800165
Overall,incidence_no_2020,65+,3.428270545537271,2.8615039305877277,3.9981600430380793,0.0,2.549896857518741,4.314167793885426,9.325873406851315e-15,2.4091631786682024,4020.0,7,1.0009995979550574,0.8369779747666084,0.8945373939598922
Regional,incidence_no_2020,20-49,5.072435175561241,3.4950319401182206,6.6738801540767945,1.442372887794363e-10,2.6192480750090397,7.5842674821854805,4.0416686617472664e-05,2.4392406393525223,525.0,7,1.0,,
Regional,incidence_no_2020,50-64,4.368945260367751,3.191048753805381,5.560287120930574,1.532107773982716e-13,2.5351402119543787,6.235547269400055,2.2660846439315208e-06,2.4392406393525223,973.0,7,0.993304714847257,0.48627175195476147,0.6557429480092265
Regional,incidence_no_2020,65+,5.171501010978585,4.139236806686619,6.213997375790803,0.0,3.5637550615431834,6.80420595341682,1.4053935792901484e-10,2.4392406393525223,1291.0,7,1.000942833724676,0.918530144580493,0.9477825079245212
