year,hist_group,cases,population,rate_per_100k,cohort
2000,Conventional/intestinal adenocarcinoma,99,74952547,0.13208357015539443,all_ages
2000,Mucinous-type adenocarcinoma,126,74952547,0.16810636201595658,all_ages
2000,Signet-ring cell carcinoma,17,74952547,0.022681017097390965,all_ages
2001,Conventional/intestinal adenocarcinoma,115,75823654,0.15166771044824615,all_ages
2001,Mucinous-type adenocarcinoma,149,75823654,0.19650859875468413,all_ages
2001,Signet-ring cell carcinoma,27,75823654,0.03560894071393605,all_ages
2002,Conventional/intestinal adenocarcinoma,96,76597496,0.1253304677218169,all_ages
2002,Mucinous-type adenocarcinoma,159,76597496,0.20757858716425925,all_ages
2002,Signet-ring cell carcinoma,26,76597496,0.033943668341325416,all_ages
2003,Conventional/intestinal adenocarcinoma,97,77323962,0.12544623618743178,all_ages
2003,Mucinous-type adenocarcinoma,183,77323962,0.23666661053917543,all_ages
2003,Signet-ring cell carcinoma,27,77323962,0.034918024505779986,all_ages
2004,Conventional/intestinal adenocarcinoma,115,78044525,0.1473517841257923,all_ages
2004,Mucinous-type adenocarcinoma,138,78044525,0.17682214095095075,all_ages
2004,Signet-ring cell carcinoma,25,78044525,0.032032996549085285,all_ages
2005,Conventional/intestinal adenocarcinoma,105,78545195,0.13368099729079547,all_ages
2005,Mucinous-type adenocarcinoma,193,78545195,0.24571840454403351,all_ages
2005,Signet-ring cell carcinoma,33,78545195,0.04201402771996428,all_ages
2006,Conventional/intestinal adenocarcinoma,99,79131483,0.12510823283824973,all_ages
2006,Mucinous-type adenocarcinoma,203,79131483,0.25653506329459286,all_ages
2006,Signet-ring cell carcinoma,43,79131483,0.05433993951560342,all_ages
2007,Conventional/intestinal adenocarcinoma,126,79874119,0.1577482187941253,all_ages
2007,Mucinous-type adenocarcinoma,206,79874119,0.25790581802849055,all_ages
2007,Signet-ring cell carcinoma,31,79874119,0.03881106970331654,all_ages
2008,Conventional/intestinal adenocarcinoma,128,80716323,0.15858006812327166,all_ages
2008,Mucinous-type adenocarcinoma,240,80716323,0.29733762773113437,all_ages
2008,Signet-ring cell carcinoma,45,80716323,0.0557508051995877,all_ages
