year,age_group,deaths,population,ibm_rate_per_100k
2000,20-49,0,33668765,0.0
2000,50-64,10,10765035,0.09289333476389068
2000,65+,26,8456508,0.3074555123698813
2000,<20,0,22062239,0.0
2001,20-49,12,33941689,0.03535475208673322
2001,50-64,26,11191762,0.23231373218980175
2001,65+,37,8528000,0.43386491557223267
2001,<20,0,22162203,0.0
2002,20-49,14,34127808,0.04102226547922445
2002,50-64,27,11625941,0.2322392656215957
2002,65+,53,8599828,0.6162913955953537
2002,<20,0,22243919,0.0
2003,20-49,22,34215898,0.06429759639802526
2003,50-64,39,12068939,0.32314356713543746
2003,65+,46,8699941,0.52873921788665
2003,<20,0,22339184,0.0
2004,20-49,24,34312478,0.06994540003785212
2004,50-64,34,12520703,0.2715502476178854
2004,65+,73,8782188,0.8312279354529872
2004,<20,0,22429156,0.0
2005,20-49,31,34256612,0.09049347903990039
2005,50-64,44,12968498,0.33928370116570167
2005,65+,72,8892631,0.8096591436212747
2005,<20,0,22427454,0.0
2006,20-49,28,34264224,0.08171788743851313
2006,50-64,49,13415424,0.3652512212808183
2006,65+,72,9007678,0.7993180928536745
2006,<20,0,22444157,0.0
2007,20-49,24,34264963,0.07004239286643911
2007,50-64,58,13878969,0.4178984764646423
2007,65+,82,9177496,0.8934899018207144
2007,<20,0,22552691,0.0
2008,20-49,23,34321013,0.06701433899984247
2008,50-64,52,14295997,0.3637381848918967
2008,65+,84,9424753,0.891270041771917
2008,<20,0,22674560,0.0
2009,20-49,33,34405802,0.09591405542588427
2009,50-64,74,14733228,0.5022660343001547
2009,65+,109,9657679,1.1286355655432325
2009,<20,0,22728143,0.0
2010,20-49,31,34473127,0.08992511761407661
2010,50-64,76,15211640,0.4996173982555464
2010,65+,111,9886322,1.1227633492010476
2010,<20,0,22729276,0.0
2011,20-49,27,34612343,0.0780068543756197
2011,50-64,79,15636202,0.5052377808882234
2011,65+,126,10106780,1.246687866956637
2011,<20,0,22672666,0.0
2012,20-49,35,34739291,0.10075047300188135
2012,50-64,83,15828409,0.5243736120288527
2012,65+,112,10533719,1.0632522094048644
2012,<20,0,22607122,0.0
2013,20-49,32,34830848,0.09187258375104736
2013,50-64,83,16060686,0.5167898805816887
2013,65+,154,10895514,1.4134257456784507
2013,<20,0,22570316,0.0
2014,20-49,36,34938764,0.10303741712213976
2014,50-64,92,16282745,0.5650152968679422
2014,65+,142,11262437,1.2608283624583205
2014,<20,1,22548785,0.004434828750196518
2015,20-49,37,35067589,0.10551053281706933
2015,50-64,96,16460929,0.5831991620886039
2015,65+,153,11632146,1.3153204920227102
2015,<20,0,22554236,0.0
2016,20-49,43,35241380,0.12201565318951756
2016,50-64,82,16558511,0.4952136094845726
2016,65+,166,11989924,1.3844958483473289
2016,<20,0,22571009,0.0
2017,20-49,37,35395422,0.10453329246929166
2017,50-64,99,16607884,0.5961024294244829
2017,65+,207,12336158,1.6779940723846112
2017,<20,0,22568889,0.0
2018,20-49,31,35479874,0.0873734782710897
2018,50-64,110,16614055,0.6620900195647601
2018,65+,200,12697130,1.5751591107596759
2018,<20,0,22522616,0.0
2019,20-49,29,35499259,0.08169184601853238
2019,50-64,90,16596161,0.5422940883738112
2019,65+,213,13072258,1.6294048051989183
2019,<20,0,22438519,0.0
2020,20-49,26,35444595,0.07335392039322215
2020,50-64,104,16587913,0.6269625359139513
2020,65+,214,13440183,1.5922402247052738
2020,<20,0,22284125,0.0
2021,20-49,40,35238243,0.11351303752573588
2021,50-64,98,16517818,0.593298703254873
2021,65+,253,13782761,1.8356264031568128
2021,<20,0,21952998,0.0
2022,20-49,32,35333587,0.09056538754471773
2022,50-64,88,16358555,0.5379448245887244
2022,65+,217,14165778,1.531860798609155
2022,<20,0,21860359,0.0
2023,20-49,31,35594151,0.08709296086314855
2023,50-64,97,16200329,0.5987532722329282
2023,65+,247,14604060,1.691310498587379
2023,<20,0,21762426,0.0
