year,age_group,stage_group,cases,population,rate_per_100k
2000,20-49,Distant,0,33668765,0.0
2000,20-49,Localized,0,33668765,0.0
2000,20-49,Regional,0,33668765,0.0
2000,20-49,Unknown/blank,53,33668765,0.15741593135358545
2000,50-64,Distant,0,10765035,0.0
2000,50-64,Localized,0,10765035,0.0
2000,50-64,Regional,0,10765035,0.0
2000,50-64,Unknown/blank,83,10765035,0.7710146785402927
2000,65+,Distant,0,8456508,0.0
2000,65+,Localized,0,8456508,0.0
2000,65+,Regional,0,8456508,0.0
2000,65+,Unknown/blank,105,8456508,1.2416472614937513
2000,<20,Distant,0,22062239,0.0
2000,<20,Localized,0,22062239,0.0
2000,<20,Regional,0,22062239,0.0
2000,<20,Unknown/blank,1,22062239,0.004532631524842062
2000,Unknown,Distant,0,0,
2000,Unknown,Localized,0,0,
2000,Unknown,Regional,0,0,
2000,Unknown,Unknown/blank,0,0,
2001,20-49,Distant,0,33941689,0.0
2001,20-49,Localized,0,33941689,0.0
2001,20-49,Regional,0,33941689,0.0
2001,20-49,Unknown/blank,74,33941689,0.21802097120152153
2001,50-64,Distant,0,11191762,0.0
2001,50-64,Localized,0,11191762,0.0
2001,50-64,Regional,0,11191762,0.0
2001,50-64,Unknown/blank,99,11191762,0.884579211030399
2001,65+,Distant,0,8528000,0.0
2001,65+,Localized,0,8528000,0.0
2001,65+,Regional,0,8528000,0.0
2001,65+,Unknown/blank,118,8528000,1.3836772983114447
2001,<20,Distant,0,22162203,0.0
2001,<20,Localized,0,22162203,0.0
2001,<20,Regional,0,22162203,0.0
2001,<20,Unknown/blank,0,22162203,0.0
2001,Unknown,Distant,0,0,
2001,Unknown,Localized,0,0,
2001,Unknown,Regional,0,0,
2001,Unknown,Unknown/blank,0,0,
2002,20-49,Distant,0,34127808,0.0
2002,20-49,Localized,0,34127808,0.0
2002,20-49,Regional,0,34127808,0.0
2002,20-49,Unknown/blank,78,34127808,0.22855262195567908
2002,50-64,Distant,0,11625941,0.0
2002,50-64,Localized,0,11625941,0.0
2002,50-64,Regional,0,11625941,0.0
2002,50-64,Unknown/blank,90,11625941,0.774130885405319
2002,65+,Distant,0,8599828,0.0
2002,65+,Localized,0,8599828,0.0
2002,65+,Regional,0,8599828,0.0
2002,65+,Unknown/blank,113,8599828,1.3139797679674523
2002,<20,Distant,0,22243919,0.0
2002,<20,Localized,0,22243919,0.0
2002,<20,Regional,0,22243919,0.0
2002,<20,Unknown/blank,0,22243919,0.0
2002,Unknown,Distant,0,0,
2002,Unknown,Localized,0,0,
2002,Unknown,Regional,0,0,
2002,Unknown,Unknown/blank,0,0,
2003,20-49,Distant,0,34215898,0.0
2003,20-49,Localized,0,34215898,0.0
2003,20-49,Regional,0,34215898,0.0
2003,20-49,Unknown/blank,79,34215898,0.23088682342927255
2003,50-64,Distant,0,12068939,0.0
2003,50-64,Localized,0,12068939,0.0
2003,50-64,Regional,0,12068939,0.0
2003,50-64,Unknown/blank,101,12068939,0.8368589815558767
2003,65+,Distant,0,8699941,0.0
2003,65+,Localized,0,8699941,0.0
2003,65+,Regional,0,8699941,0.0
2003,65+,Unknown/blank,127,8699941,1.459780014600099
2003,<20,Distant,0,22339184,0.0
2003,<20,Localized,0,22339184,0.0
2003,<20,Regional,0,22339184,0.0
2003,<20,Unknown/blank,0,22339184,0.0
